     k       0      1      2      3      4     âêÕâ(k=4)
j= 0     0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
j= 1     0.3090  0.2939  0.2795  0.2658  0.2528  0.2537
j= 2     0.5878  0.5590  0.5317  0.5056  0.4809  0.4825
j= 3     0.8090  0.7694  0.7318  0.6959  0.6619  0.6641
j= 4     0.9511  0.9045  0.8602  0.8181  0.7781  0.7807
j= 5     1.0000  0.9511  0.9045  0.8602  0.8181  0.8209
j= 6     0.9511  0.9045  0.8602  0.8181  0.7781  0.7807
j= 7     0.8090  0.7694  0.7318  0.6959  0.6619  0.6641
j= 8     0.5878  0.5590  0.5317  0.5056  0.4809  0.4825
j= 9     0.3090  0.2939  0.2795  0.2658  0.2528  0.2537
j=10     0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
