  k          0         1         2         3         4        âêÕâ(k=4)
j= 0      0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
j= 1      0.3090  0.3040  0.2991  0.2943  0.2895  0.2893
j= 2      0.5878  0.5783  0.5689  0.5597  0.5507  0.5504
j= 3      0.8090  0.7959  0.7830  0.7704  0.7579  0.7575
j= 4      0.9511  0.9357  0.9205  0.9056  0.8910  0.8905
j= 5      1.0000  0.9838  0.9679  0.9522  0.9368  0.9363
j= 6      0.9511  0.9357  0.9205  0.9056  0.8910  0.8905
j= 7      0.8090  0.7959  0.7830  0.7704  0.7579  0.7575
j= 8      0.5878  0.5783  0.5689  0.5597  0.5507  0.5504
j= 9      0.3090  0.3040  0.2991  0.2943  0.2895  0.2893
j=10      0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
