  k          0         1         2         3         4        âêÕâ(k=4)
j= 0      0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
j= 1      0.3090  0.3041  0.2992  0.2944  0.2896  0.2893
j= 2      0.5878  0.5783  0.5691  0.5599  0.5509  0.5504
j= 3      0.8090  0.7960  0.7833  0.7707  0.7583  0.7575
j= 4      0.9511  0.9358  0.9208  0.9060  0.8914  0.8905
j= 5      1.0000  0.9839  0.9682  0.9526  0.9373  0.9363
j= 6      0.9511  0.9358  0.9208  0.9060  0.8914  0.8905
j= 7      0.8090  0.7960  0.7833  0.7707  0.7583  0.7575
j= 8      0.5878  0.5784  0.5691  0.5599  0.5509  0.5504
j= 9      0.3090  0.3041  0.2992  0.2944  0.2896  0.2893
j=10      0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
