  k          0         1         2         3         4        âêÕâ(k=4)
j= 0      0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
j= 1      0.3090  0.3040  0.2990  0.2941  0.2893  0.2893
j= 2      0.5878  0.5782  0.5688  0.5595  0.5504  0.5504
j= 3      0.8090  0.7958  0.7828  0.7701  0.7575  0.7575
j= 4      0.9511  0.9355  0.9203  0.9053  0.8905  0.8905
j= 5      1.0000  0.9837  0.9676  0.9519  0.9363  0.9363
j= 6      0.9511  0.9355  0.9203  0.9053  0.8905  0.8905
j= 7      0.8090  0.7958  0.7828  0.7701  0.7575  0.7575
j= 8      0.5878  0.5782  0.5688  0.5595  0.5504  0.5504
j= 9      0.3090  0.3040  0.2990  0.2941  0.2893  0.2893
j=10      0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
